PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0224-00009-2012-BP02|PROPOSED RECONSTRUCTION WITH  ADDITION OF 3RD STOREY TO AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02421W MK03 AT 9 SPRINGWOOD WALK, QUEENSTOWN PLANNING AREA.|ON LOT(S) 02421W  MK03 AT 9 SPRINGWOOD WALK SINGAPORE 117937|MR WONG KOK YAN WONG KOK YAN CHARTERED ARCHITECT AND PLANNER|NG CHENG HAI NEXG GROUP DESIGN|02/01/2014
A0224-06360-2013-BP01|PROPOSED RECONSTRUCTION OF A SINGLE STOREY CORNER TERRACE DWELLING HOUSE TO PART 2-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 00647X MK10 AT 29 LORONG PISANG EMAS|ON LOT(S) 00647X  MK10 AT 29 LORONG PISANG EMAS|MR WONG KOK YAN WONG KOK YAN CHARTERED ARCHITECT|CHEANG JEN BOON INTER-SYSTEM CONSULTANTS|10/01/2014
A0224-06389-2013-BP01|PROPOSED RECONSTRUCTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT(S) 04950X  MK23 AT 6A  JALAN PUNAI|ON LOT(S) 04950X  MK23 AT 6A  JALAN PUNAI|MR CHAI JUN YEA DESIGN@LOFT ARCHITECTS|ER CHEANG JEN BOON INTER-SYSTEM CONSULTANTS|27/01/2015
A0224-50001-2011-BP02|PROPOSED RECONSTRUCTION OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02075A MK 25 AT 9 LORONG 40 GEYLANG|ON LOT(S) 02075A  MK25 AT 9 LORONG 40 GEYLANG|MR CHAI JUN YEA DESIGN@LOFT|Mr CHNG CHE HWA CHC ENGINEERING CONSULTANTS|22/01/2014
A0259-00475-2012-BP01|PROPOSED COVERED WALKWAY BETWEEN BLOCK 353 AND 351D TO EXISTING BUS STOP ON LOT 03721T MK 13 AT ADMIRALTY DRIVE. (SEMBAWANG PLANNING AREA)|ON LOT(S) 03721T  MK13 AT ADMIRALTY DRIVE|MR TAN BIN YEE ACA AKITEK|Mr LENG KWEK MIN LENG CONSULTANTS|30/01/2014
A0259-00476-2012-BP01|PROPOSED OF COVERED WALKWAY FROM BLOCK 122 TO DROP OFF POINT ON LOT 01012N, COVERED WALKWAY FROM BLOCK 125 TO DROP OFF POINT ON LOT 00997C MK 19 AT YISHUN STREET 11. (YISHUN PLANNING AREA)|ON LOT(S) 00997C  & 01012N  MK19 AT 125 YISHUN STREET 11|MR TAN BIN YEE ACA AKITEK|Mr LENG KWEK MIN LENG CONSULTANTS|06/01/2014
A0393-01357-2012-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 18-STOREY RESIDENTIAL BUILDING (TOTAL: 884 UNITS) WITH 1 BLOCK OF MULTI-STOREY CARPARK, 2 PRECINCT PAVILIONS, 2 ESS, SENIOR CARE CENTRE (SCC) AND RESIDENTS' COMMITTEE CENTRE (SENGKANG N1 C29) ON L ON LOT(S) 1860MPT  MK21 AT RIVERVALE CRESCENT|ON LOT(S) 1860MPT  MK21 AT RIVERVALE CRESCENT|MR TEH WENG KUANG ONG&ONG PTE LTD|Mr SEOW HONG CHIOW SCE CONSULTANTS (PTE),Mr LIM YAN PING SCE CONSULTANTS (PTE),ER TAN MENG LIANG MTECH CONSULTANTS, CHEANG YEW KEE J. PRO CONSULTING ENGINEERS LLP|17/01/2014
A0393-10687-2011-BP01|PROPOSED NEW EXTENSION AND UPGRADING OFEXISTING 6/6 STOREY MULTI-STOREY CAR PARKNO Q75M AT BLOCK 10A HOLLAND DRIVELOT 6137A, MK 04 ON LOT(S) 6137A  MK04|ON LOT(S) 6137A  MK04|MR TEH WENG KUANG ONG&ONG PTE LTD|Mr CHAN SWEE MENG SCE CONSULTANTS (PTE), ZHOU TONGQUAN TENWIT CONSULTANTS PTE LTD|16/01/2014
A0414-00108-2012-BP01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT(S) 03606M  MK22 AT 203  YIO CHU KANG ROAD|ON LOT(S) 03606M  MK22 AT 203  YIO CHU KANG ROAD|MR YANG KIAM WA YWK ARCHITECTS|Mr TEO JIN KWEE ATC CONSULTING PTE LTD|21/01/2014
A0426-00003-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING WEST GROVE PRIMARY SCHOOL AND ADDITION OF A NEW 2-STOREY INDOOR SPORTS HALL WITH 4-STOREY ANNEX ON LOT 00718V MK 09, 1 JURONG WEST STREET 72, SINGAPORE 649223 (JURONG WEST PLANNING AREA)|ON LOT(S) 00718V  MK09 AT JURONG WEST STREET 72|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS,Mr SOON WON MOI MOTT MACDONALD SINGAPORE PTE LTD|14/01/2014
A0426-00004-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING XINGNAN PRIMARY SCHOOL AND ADDITION OF A NEW 4-STOREY INDOOR SPORTS HALL ON LOT 00409A MK 09, 5 JURONG WEST STREET 91, SINGAPORE 649036 (JURONG WEST PLANNING AREA)|ON LOT(S) 00409A  MK09 AT JURONG WEST STREET 91|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS,Mr SOON WON MOI MOTT MACDONALD SINGAPORE PTE LTD|14/01/2014
A0426-00005-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING YEW TEE PRIMARY SCHOOL AND ADDITION OF A NEW 3-STOREY INDOOR SPORTS HALL WITH 3-STOREY ANNEX  ON LOT(S) 03255L  MK11 AT 10 CHOA CHU KANG STREET 64|ON LOT(S) 03255L  MK11 AT 10 CHOA CHU KANG STREET 64|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS,Mr SOON WON MOI MOTT MACDONALD SINGAPORE PTE LTD|29/01/2014
A0426-00006-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING YUHUA PRIMARY SCHOOL AND ADDITION OF A NEW 3-STOREY INDOOR SPORTS HALL ON LOT 03973W MK 05, 158 JURONG EAST STREET 24, SINGAPORE 609558 (JURONG EAST PLANNING AREA)|ON LOT(S) 03973W  MK05|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS,Mr SOON WON MOI MOTT MACDONALD SINGAPORE PTE LTD|13/01/2014
A0449-00317-2012-BP01|PROPOSED RECONSTRUCTION OF THE EXISTING SINGLE-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 01113K  MK27 AT 45 FIDELIO STREET|ON LOT(S) 01113K  MK27 AT 45 FIDELIO STREET|MR LAU WAI MUN LAU & ASSOCIATES|ER LEE CHOW KHOON WATT ENGINEERING CONSULTANTS|09/01/2014
A0454-00442-2012-BP01|PROPOSED ERECTION OF 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC (EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE) ON LOT 98052M MK 27 AT 6 DIDO STREET|ON LOT(S) 98052M  MK27|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|Mr KEE KAM OON K & R CONSULTING ENGINEERS PTE. LTD.|10/01/2014
A0454-00433-2012-BP01|PROPOSED RECONSTRUCTION WITH PROVISION OF ATTIC TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT ON LOT 07662M MK18 AT 87 JALAN PEMIMPIN (BISHAN PLANNING AREA)|ON LOT(S) 07662M  MK18 AT 87 JALAN PEMIMPIN|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|Mr KEE KAM OON K & R CONSULTING ENGINEERS PTE. LTD.|16/01/2014
A0454-00449-2013-BP01|PROPOSED RECONSTRUCTION TO THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH A NEW BASEMENT AND ATTIC ON LOT 00619A MK 15 AT 39 TAMAN PERMATA SINGAPORE 575162|ON LOT(S) 00619A  MK15 AT 39 TAMAN PERMATA|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|ER KEE KAM OON PK PROJECT CONSULTANTS|13/01/2015
A0479-00002-2013-BP01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE AT 3 FABER DRIVE ON LOT(S) 01338M  MK05 AT 3 FABER DRIVE|ON LOT(S) 01338M  MK05 AT 3 FABER DRIVE|MS TAN SIOK LAY HT ARCHITECTS|Mr POH CHER SENG GRACE CONSULTANTS|10/01/2014
