PROJECT REFERENCE NUMBER|PROJECT TITLE|DATE APPROVED
E2554-00105-2013-CD02|PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 98068M MK 18 AT 82 MEDWAY DRIVE SINGAPORE 556582 ON LOT 98068M MK18 AT 82, MEDWAY DRIVE, SINGAPORE 556582|28/01/2014
E2699-00011-2012-CD01|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY DETACHED DWELLING HOUSE TO 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENTS ON LOT 3756 MK 17 AT 28 OLIVE ROAD SINGAPORE 298265 (NOVENA PLANNING AREA)|18/01/2014
A1245-00007-2013-CD01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 94154K MK 26 AT 3 SIGLAP AVENUE SOUTH  SINGAPORE 456263|07/01/2014
A0781-00025-2012-CD01|PROPOSED PHASE 14 COMPRISING 1 BLOCK OF 4-STOREY DEVELOPMENT (1-STOREY SHOPS & 3-STOREY APARTMENTS) WITH 2 BASEMENT CARPARKS ON LOTS 02341A MK 19 AT JALAN ULU SELETAR/SEMBAWANG ROAD (YISHUN PLANNING AREA)|24/01/2014
A0781-00004-2013-CD01|PROPOSED PHASE 15 COMPRISING 1 BLOCK OF 4-STOREY DEVELOPMENT (1-STOREY SHOPS & 3-STOREY APARTMENTS) WITH 2 BASEMENT CARPARKS ON LOT 02260C MK 19 AT JALAN ULU SELETAR/SEMBAWANG ROAD (YISHUN PLANNING AREA)|24/01/2014
A2299-01303-2013-CD01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 01912T  MK28 AT 7 TAMAN SELAMAT SINGAPORE 416412|06/01/2014
A1220-00005-2012-CD02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 16-STOREY RESIDENTIAL BUILDING (TOTAL 292 UNITS), 1 BLOCK OF ESS, COMMUNITY FACILITIES AND PRECINCT PAVILION AT BUANGKOK GREEN (HOUGANG NEIGHBOURHOOD 5 CONTRACT 23) ON LOT(S) 08878V  MK22 AT BUANGKOK GREEN SINGAPORE 000000|09/01/2014
A0814-00001-2013-CD04|PROPOSED ERECTION OF A 14 STOREY MIXED DEVELOPMENT COMPRISING 3 STOREY RETAIL (TOTAL : 146 UNITS) CUM CARPARK PODIUM, 2 BLOCKS OF 11 STOREY AND 1 BLOCK OF 2 STOREY RESIDENTIAL FLAT (TOTAL : 186 UNITS) AT YISHUN AVE 9 (YISHUN PLANNING AREA) ON LOT(S) 03635V  MK19 AT YISHUN AVENUE 9 SINGAPORE 760315|16/01/2014
A1156-00006-2012-CD03|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 01681P MK18 AT 67, JALAN CHENGAM (ANG MO KIO PLANNING AREA)|10/01/2014
A1937-00051-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AT 54 JALAN LEBAN|20/01/2014
