PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
E0179-00019-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS AND ASSOCIATED WORKS TO EXISTING ALJUNIED MRT STATION ON LOT 6789 MK 24 AT LORONG 25 GEYLANG CENTRAL (GEYLANG PLANNING AREA)|201439641|02/01/2014|0|3471618|0
A1276-00676-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 4 UNITS OF 2-STOREY SEMI DETACHED DWELLING HOUSES, EACH WITH AN ATTIC AND SWIMMING POOL ON LOT(S) 07134M, 07135W, 07136V & 07137P MK 04 AT 6, 6A, 6B & 6C NAMLY DRIVE (BUKIT TIMAH PLANNING AREA)|201439642|02/01/2014|80|266931|4
E0179-00027-2010-BP01|HALF-HEIGHT  PLATFORM  SCREEN  DOORS  AND  ASSOCIATED  WORKS  TO  EXISTING  BOON  LAY  MRT  STATION  ON  LOT  2501  MK  6  AT  NO. 301  BOON  LAY  WAY|201439643|02/01/2014|0|3471618|0
A0743-10514-2010-BP01|ERECTION OF A 8-STOREY MULTI-USER LIGHT INDUSTRIAL BUILDING WITH SUBSTATION (TOTAL 67 FACTORY UNITS) ON LOT 01277W MK 23 AT NO. 23 NEW INDUSTRIAL ROAD ( HOUGANG PLANNING AREA ) ( THE "DEVELOPMENT" )|201439644|02/01/2014|12873|11461000|0
E0179-00022-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS AND ASSOCIATED WORKS TO EXISTING KALLANG MRT STATION ON LOT 6856 MK 24 AT 5 SIMS AVENUE (KALLANG PLANNING AREA)|201439645|02/01/2014|0|3471618|0
A1044-01108-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING UPPER 1ST-STOREY OF THE EXISTING 4-STOREY CLUBHOUSE (PLOT-A) ON LOTS 00563V, 00565T, 00729N, 00731K, 00733X, 00735C, 99877X TS 25 AT TANGLIN CLUB AT 5 STEVENS ROAD|201439646|02/01/2014|54|1800000|0
A1664-00004-2008-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT WITH NEW LIFTS (LIFT UPGRADING PROGRAMME) ON LOT 526M MK14 AT 133A & 136 CASHEW ROAD, 138 PETIR ROAD|201439648|02/01/2014|0|0|0
A0489-00006-2010-BP01|ERECTION OF 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AS AN EXTENSION TO THE EXISTING SINGLE-STOREY DETACHED HOUSE ON LOT 97103K MK 17 AT 3 MELROSE DRIVE|201439650|02/01/2014|501|1500000|1
A1618-15304-2012-BP01|REPLACEMENT OF WATER TANKS AND PUMPS WITH ROOF OVER AT SINGAPORE POLYTECHNIC, STAFF APARTMENT ON LOT(S) 01797A , 02266N , 03049M  & 03438V  MK03 AT 500  DOVER ROAD|201439651|02/01/2014|77|756859|0
E3890-00911-2012-BP01|NEW ANCILLARY BIN POINT TO EXISTING FACTORY ON LOTS 00347L, 01172N, 01302N & 01394K MK 06 AT 50 INTERNATIONAL ROAD|201439653|02/01/2014|77|155000|0
