TITLE|BUILDER|PROFESSIONAL ENGINEER|ARCHITECT
PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING  2 BLOCKS OF 12 STOREYS, 4 BLOCKS OF 15 STOREYS , 2 BLOCKS OF 16 STOREYS APARTMENTS AND 34 UNITS OF 3 STOREYS STRATA TERRACES (TOTAL 748 UNITS) WITH COMMERCIAL SHOPS, PODIUM CARPARK, SWIMMING POOLS, CLUBHOUSE AND ON LOT 10845C MK27 AT BEDOK SOUTH AVENUE 3|Ye Xin Xiang , China Construction (South Pacific) Development Co Pte Ltd|LEE HIANG MENG,Tan Yew Chai|ANGELENE CHAN
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING PULAU SERAYA POWER STATION COMPRISING OF THE CONSTRUCTION OF NEW PIPE RACKS ON LOT 329T PT AND UPGRADING WORKS AT OIL TANK FARM ON LOTS 365K PT, 562X PT AND 715P PT MK 34 AT 3 SERAYA AVENUE|ONG CHIN HONG , ASIA PROJECTS ENGINEERING PTE LTD|ONG MENG WAN|
PROPOSED ADDITIONS & ALTERATIONS TO THE EXT'G 1-STOREY GREEN PAVILION AT BOTANY CENTRE INCL. PARTIAL CHANGE OF USE TO A NEW BOOKSHOP ON LOT 01748N TS25 AT 1 CLUNY ROAD|Low Eng What , CCM INDUSTRIAL PTE LTD|TOH HAN LIN|SIAN CHONG PING
PROPOSED ADDITION & ALTERATION TO UNIT #01-01 OF EXISTING 2 BLOCKS OF 3-STOREY TERRACE FACTORY AT NO.2B, MANDAI ESTATE ON LOT 01072M MK14 AT 2B MANDAI ESTATE|Ang Beng Wan , Tong Lee Engineering Works Pte Ltd|CHOW GEE YEONG|LIM JIT KGOH
PROPOSED NEW EXTENSION AND UPGRADING OFEXISTING 6/6 STOREY MULTI-STOREY CAR PARKNO Q75M AT BLOCK 10A HOLLAND DRIVELOT 6137A, MK 04 ON LOT 6137A MK04 AT 10A HOLLAND DRIVE|LEE YIONG WEI , HONG SHIN BUILDERS PTE LTD|ZHOU TONG QUAN|TEH WENG KUANG
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING GENERAL INDUSTRIAL DEVELOPMENT (CANOPY AT JS12) ON LOT 2622C MK 06 AT 249 JALAN BOON LAY SINGAPORE 619523 (JURONG WEST PLANNING AREA)|CHOO WEE JIANG , SOON KIAT THONG CONSTRUCTION PTE LTD|SEOW TECK PANG|
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT INVOLVING ERECTION OF DROP-OFF SHELTER & LOW AND HIGH COVERED LINKWAY BETWEEN BLOCKS 223 AND 224 , COMMUNITY HALL (COVERED STAGE) BETWEEN BLOCKS 226G & 226H AND BARRIER FREE ACCESSIBIL ON LOT 16751V MK18 AT ANG MO KIO AVENUE 3|CHOE YONG CHAI , KINGSTEEL ENGINEERING CONSTRUCTION PTE LTD|KEE KAM OON|ALVIN NG YEOH CHUI
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING FACTORY INVOLVING ADDTION OF 3-STOREY BLOCK WITH 1ST STOREY PRODUCTION AND 2ND AND 3RD STOREY ANCILLARY WORKERS' DORMITORY (TOTAL : 160 WORKERS) ON LOT 00889P MK 07 AT 6A JOO KOON CIRCLE SINGAPORE 629038|Rommel Anthony Balingan Fortich , LTC Coatings (S) Pte Ltd|Tiong Hoo Tuong|
PROPOSED CONSERVATION OF CAPITOL THEATRE, CAPITOL BLDG &  STAMFORD HSE AS PT 3/4-STY HOTEL (157 RM), ERECTION 2-STY COMMERCIAL PODIUM WITH 12-STY RESI FLATS (39 UNITS) 2 BASEMENT FOR SHOPPING WITH UNDERGROUND PEDESTRIAN MALL & 4 BASEMENT CARPARKS AT STAMFO ON LOT 00333W, 00335P, 00337A, 00341K, 00346M, 80001L & 99875L TS10 AT NORTH BRIDGE ROAD, STAMFORD ROAD|KOH KIM KEEI , UNITED SPECIALISTS PTE LTD|VINCENT PHANG SEOW FAI|MICHAEL NGU
PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 98068M MK 18 AT 82 MEDWAY DRIVE SINGAPORE 556582|AYE PWINT KHAING , CONROY PTE LTD|YAP SOO HENG|
