MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 0001		S68MC0001B	BENG TONG MANSION	247 TANJONG KATONG ROAD 437035	16 KING GEORGES AVENUE - SINGAPORE 208558	ACTIVE	3	63251109	23/10/1968		
 Single Tier Management Corporation	 0002		S68MC0002J	BENG TONG MANSION	249 TANJONG KATONG ROAD 437037	203 HOUGANG STREET 21 01-71 SINGAPORE 530203	ACTIVE	3	62888059	23/10/1968		
 Single Tier Management Corporation	 0003		S68MC0003E	BENG TONG MANSION	251A TANJONG KATONG ROAD 437039	251B TANJONG KATONG ROAD - SINGAPORE 437039	ACTIVE	3	63453007	23/10/1968	MCST	
 Single Tier Management Corporation	 0004		S68MC0004A	BENG TONG MANSION	243B TANJONG KATONG ROAD 428987	23 MOUNT SINAI DRIVE - SINGAPORE 277083	ACTIVE	3	62654277	23/10/1968	MCST	
 Single Tier Management Corporation	 0005		S68MC0005H	BENG TONG MANSION	253B TANJONG KATONG ROAD 437041	253B TANJONG KATONG ROAD - SINGAPORE 437041	ACTIVE	3		26/10/1968	MCST	
 Single Tier Management Corporation	 0006		S68MC0006D	BENG TONG MANSION	245B TANJONG KATONG ROAD 437033	245B TANJONG KATONG ROAD - SINGAPORE 437033	ACTIVE	3	63440230	26/10/1968	MCST	
 Single Tier Management Corporation	 0007		S68MC0007L	BENG TONG MANSION	241B TANJONG KATONG ROAD 437028	241A TANJONG KATONG ROAD - SINGAPORE 437029	ACTIVE	3	63464776	29/10/1968	MCST	
 Single Tier Management Corporation	 0008		S68MC0008G	BENG TONG MANSION	255B TANJONG KATONG ROAD 437043	255 TANJONG KATONG ROAD - SINGAPORE 437043	ACTIVE	3	63456920	29/10/1968	MCST	
 Single Tier Management Corporation	 0009		S68MC0009C	BENG TONG MANSION	257B TANJONG KATONG ROAD 437045	257 TANJONG KATONG ROAD - SINGAPORE 437045	ACTIVE	3	63457048	29/10/1968	MCST	
 Single Tier Management Corporation	 0010		S68MC0010L	BENG TONG MANSION	259B TANJONG KATONG ROAD 437047	259 TANJONG KATONG ROAD - SINGAPORE 437047	ACTIVE	3	63456165	29/10/1968	MCST	
