PROJECT REFERENCE NUMBER|DESCRIPTION|ARCHITECT|TOP NUMBER|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A1194-01109-2012-BP01|ERECTION OF A 7-STY SINGLE USER LIGHT INDUSTRIAL DEVELOPMENT AND A&A TO EXISTING 4-STY CAR SHOWROOM & WORKSHOP WITH 2 BASEMENTS FOR CAR WORKSHOP & CAR SHOWROOM WITH WAREHOUSE & ANCILLARY OFFICES ON LOTS 98445A, 98446K, 98451X MK01 AT 8 & 10 KUNG CHONG ROAD & 25 LENG KEE ROAD [THIS PARTIAL TOP IS FOR (PHASE 1A) 1ST & 2ND STOREYS SHOWROOMS AND PARKING AREAS OF 10 KUNG CHONG PLOT (MK01 - 98446K) ONLY]|THEODORE CHAN ENG CHYE|201439700|06/01/2014|26928.0|31388888|0
A0814-00010-2009-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 22-STOREY & 2 BLOCKS OF 23-STOREY RESIDENTIAL BUILDING (TOTAL 432 UNITS) WITH A BLOCK OF MULTY STOREY CARPARK, ESS, SUPERMARKET EATING ESTABLISMENT, CHILD CARE CENTRE & PRECINCT PAVILION WITH COMMUNITY FACILITIES ON LOT 05711T MK 13 SEMBAWANG DRIVE[THIS TEMPORARY OCCUAPTION PERMIT IS GRANTED FOR COVERED LINKWAY, DROP-OFF POINT, CHILDCARE CENTRE AT BLOCK 463B AND 463C, ROOF GARDEN AT MSCP BLOCK 463 AND PRECINCT PAVILION AT BLOCK 465.]|CHOY MENG YEW|201439702|06/01/2014|43042.0|58238000|0
A1138-00004-2010-BP01|ERECTION OF A 5-STOREY BLOCK OF FLAT WITH ATTIC (48 UNITS), SHOPS ON THE 1ST STOREY (7 UNITS) & MECHANIZED CAR PARKS (TOTAL 55 UNITS) ON LOTS 934P, 935T, 936A, 937K, 938N & 1160L TS 18 AT NO. 88 RANGOON ROAD|MR ONG ENG WOON|201439703|06/01/2014|3984.0|8620000|48
A1383-28830-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 02515V MK17 AT 45 SOMMERVILLE ROAD|TAN CHUNG HONG|201439704|06/01/2014|528.06|950000|1
A0489-00012-2012-BP01|RECONSTRUCTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ADDITION OF AN ATTIC FLOOR ON LOTS 01308K & 01309N MK17 AT 19 JALAN MANIS|RONNIE GOH SIEW HUAT|201439705|06/01/2014|399.35|1318000|1
A1209-00025-2012-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT(S) 01453L  MK15 AT 30 JALAN NAGA SARI SINGAPORE 288860|CHUA CHOON GEOK|201439711|07/01/2014|374.299|900000|1
A1523-02001-2012-BP01|ERECTION OF A SINGLE-USER INDUSTRIAL DEVELOPMENT COMPRISING A 9-STOREY DATA CENTER WITH ANCILLARY OFFICE AND ANCILLARY BUILDINGS AT WOODLANDS INDUSTRIAL PARK E9 (WOODLANDS PLANNING AREA) ON LOT(S) 1278C , 2147M , 2149V , 3219L , 3221X , 3905C , 3907W , 3908V , 5172C , 5181A , 5188W , 5190M  & 5885C  MK13 AT WOODLANDS INDUSTRIAL PARK E9 SINGAPORE 757834[THIS PARTIAL TOP PHASE 1 IS FOR OVERALL SITE, 1ST STOREY EXTERNAL WORKS, ANCILLARY BUILDINGS, ALL TANKS EXCLUDING PROPOSED SUB-STATION (66KV CONSUMER SWITCHROOM AND TRANSFORMER BAYS), DATA CENTER 1ST - 4TH STOREY, ROOF AND UPPER ROOF, STAIRCASES A - 5TH STOREY TO UPPER ROOF, STAIRCASES D - 5TH STOREY TO ROOF, STAIRCASES B & C - 5TH STOREY TO 9TH STOREY AND ALL LIFTS - CARGO LIFT, EVACUATION LIFT, FIRE LIFT, MACHINE ROOMS AND OFFICE LIFT AT LEVEL 1]|LEE CHER HWEE|201439712|07/01/2014||0|0
E3326-11381-2011-BP01|ADDITION AND ALTERATION INVOLVING THE SINGA PROJECT TO THE INFINEUM PLANT WITHIN THE EXISTING OIL REFINERY COMPLEX ON LOTS 1203N PT, 1607C, 171T, 172A, 173K, 175X, 176L, 177C, 2333W, 2336T, 2338K, 2346M, 2347W, 2603T, 2605K, 411X, 635L, 644T, 645A, 646K, 647N, 648X, 649L, 650N, 651X, 652L, 662A, 671M, 698C, 745V, 796A, 798N, 916L, 919W, 923V PT & 924P PT MK34 AT JURONG ISLAND HIGHWAY|LIM HOCK SIM|201439717|07/01/2014|3105.15|10000000|0
A0649-00028-2011-BP01|ADDITIONS & ALTERATIONS WITH PROVISION OF LIFT FOR BLOCK 413A MULTI-STOREY CARPARK ON LOTS 03847N, 03848X, 03849L, 03850N, 03851X, 03852L & 03853C MK 03 AT COMMONWEALTH AVENUE WEST|CHAN SENG KEE|201439719|07/01/2014|83.86|174600|0
A0854-00227-2013-BP01|ADDITIONS AND ALTERATIONS INVOLVING NEW LIFT TO EXISTING LIFT CORE AT EXISTING BLOCK 613C (MULTI-STOREY CARPARK) ON LOT 05852A MK28 AT BEDOK RESERVOIR ROAD (D&B UPGRADING PROJECT FOR G12A)|GOH SIAN YEW|201439720|07/01/2014||50474|0
